Topic,Count,Name,Representation,Representative_Docs
-1,55,-1_밑으로_사자_너무_던져라,"['밑으로', '사자', '너무', '던져라', '이상', '천억은', '시총', '무조건', '좋은', '오늘']","['오늘 밑으로 짝짝 갑니다', '너무 빠졌다어여 사자 시총 천억은 되야 한다', '어여 사자 너무 떨어졌다 기본 시총 천억은 되야된']"
0,52,0_이제_부산_시장가로_정확한게,"['이제', '부산', '시장가로', '정확한게', '조국', '없다', '부산출신', '북극항로', '대권', '해양수도']","['지금은 팔때가 아니고 사야될때다 어여들 사자', '북극항로 해양수도 부산 부산출신 대권 조국 부', '북극항로 해양수도 부산 부산출신 대권 조국 부산']"
1,43,1_실적_한계_상승_qoq,"['실적', '한계', '상승', 'qoq', 'out', 'ma', 're', '결핍증후군', '공시발표', '개털소프트']","['항만혼잡도와 당사 년 실적', '실적', '올해 실적 폭발적 상승 년 비교']"
