Topic,Count,Name,Representation,Representative_Docs
-1,8,-1_kt_분기_하락_작년,"['kt', '분기', '하락', '작년', '이별한지는', '횡보', '사랑했지만', '예상되는', '연속', '영업이익']","['AI 요약 KT G 년 분기', 'KT G 분기 영업이익 천억원 작년', 'KT G']"
0,165,0_하락_오늘_가운데_오늘은,"['하락', '오늘', '가운데', '오늘은', '오늘도', '예정인', '주식', '코스피', '어제', '외인']","['오늘도 하락 시작인 가운데 반등함정도 나올예정', '하락 예정인 가운데 무시하고 또 상승', '코스피 천이지만 오늘도 하락 확률 높은 주식']"
1,14,1_담배값_일차_인상_고수님들,"['담배값', '일차', '인상', '고수님들', '내년', '놈이', '나타난다', '기원', '담배', '니코틴에도']","['담배값 인상기원 일차', '담배값 인상 되면 오르나요 떨어지나요', '담배값 인상 기원 일차']"
