Topic,Count,Name,Representation,Representative_Docs
-1,7,-1_내일_내일뜨나요_먼저_월요일,"['내일', '내일뜨나요', '먼저', '월요일', '치욕의날', '내일아침', '금요일', '급락', '아침', '']","['내일 아침', '내일 먼저', '내일 금요일']"
0,167,0_오늘_개잡주_이유_동시호가,"['오늘', '개잡주', '이유', '동시호가', '하락조작', 'ai', 'sds', '공모가', '물산', '고평까']","['AI데이터 센타 설치 선도 기업 주가가 피똥싸', 'AI데이터 센터 주관 기업의 주가가 이', '오늘 과연 어떤 흐름을 보일지']"
1,20,1_삼성에스디에스_삼성_삼성비서실_삼성비서실의,"['삼성에스디에스', '삼성', '삼성비서실', '삼성비서실의', '악질', '요약', 'ai', '목표주가', '대폭', 'morg']","['삼성에스디에스', 'AI 요약 삼성에스디에스 Morg', 'AI 요약 삼성에스디에스 JP M']"
