Topic,Count,Name,Representation,Representative_Docs
-1,19,-1_삼성전자_바로_이유_환율,"['삼성전자', '바로', '이유', '환율', '넘기', '네팔처럼', '대단하다', '무력충돌생길때', '군사전개', '급등하는군']","['삼성전자 낼', 'AI가 중요한 사례가 바로 아이폰임', '지금이 바로 삼성전자']"
0,125,0_삼성전자_내일_오늘은_거품,"['삼성전자', '내일', '오늘은', '거품', '계속', '환율', '만원', '마이클버리', '대통령', '내일은']","['삼성전자 계속 얘기나오던데 대응 준비하시죠', '양 야 오늘은 AI 거품 아닌가', '마이클 버리 내일 저녁 AI 거품 증거 제']"
1,49,1_환율_코스피_지지율_동시호가,"['환율', '코스피', '지지율', '동시호가', 'pp', '국장이', '개미들', '개판', '개잡주', '경제대공황']","['환율 상승은 수출기업인', '삼전은 오히려 환율 수혜기업이다', '경제대공황 오기 전 항상 증시 폭등하고 환율']"
