Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
내일은 갈 것 같죠 아닙니다 계속 내릴 수,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,1.0,False
오늘이 msci 리벨런싱,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,1.0,False
개미들 씨를말리는고만,1,1_개미들_개미_개미는_고점에,"['개미들', '개미', '개미는', '고점에', '개미꼬시면서', '개미꼬시기다', '개미들만', '개미들아', '개미무덤', '공매한테']","['빚투한 개미들 다 없애기 전엔', '개미들 공매한테 뒤통수 씨게', '개미들 고점에 많이 물렸내']",개미들 - 개미 - 개미는 - 고점에 - 개미꼬시면서 - 개미꼬시기다 - 개미들만 - 개미들아 - 개미무덤 - 공매한테,1.0,False
죽은주식인가보다,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,1.0,False
오늘개미만,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,1.0,False
누가이렇게 한국증시 장난치며 노냐,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,0.9169390563752234,False
월욜에 위클리는 왜 처 만들어서,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,1.0,False
만 깨야 반대매매 나온다이,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,0.8724162880797719,False
이제부터 나약한 개미는 못알아 남는다,1,1_개미들_개미_개미는_고점에,"['개미들', '개미', '개미는', '고점에', '개미꼬시면서', '개미꼬시기다', '개미들만', '개미들아', '개미무덤', '공매한테']","['빚투한 개미들 다 없애기 전엔', '개미들 공매한테 뒤통수 씨게', '개미들 고점에 많이 물렸내']",개미들 - 개미 - 개미는 - 고점에 - 개미꼬시면서 - 개미꼬시기다 - 개미들만 - 개미들아 - 개미무덤 - 공매한테,1.0,False
SK하이닉스 계속 얘기나오던데,0,0_반대매매_하이닉스_삼전으로_내일,"['반대매매', '하이닉스', '삼전으로', '내일', '오늘', '종가', '내일종가', '금요일', '계속', '삼성전자']","['하이닉스', '반대매매', '오늘 반등 했어야했는데 내일 반대매매로']",반대매매 - 하이닉스 - 삼전으로 - 내일 - 오늘 - 종가 - 내일종가 - 금요일 - 계속 - 삼성전자,1.0,False
