Topic,Count,Name,Representation,Representative_Docs
-1,67,-1_오늘_자동차_기아_기아차,"['오늘', '자동차', '기아', '기아차', '매도', '그만하고', '진짜', '강도늄', '갑자기', '가자']","['말했자나 자동차 주는 기관들이 숏으로 잡았다고', '오늘', '일본도 오늘 자동차 올라가네요']"
0,64,0_지금_다시_날도_오늘같은,"['지금', '다시', '날도', '오늘같은', '수사', '하닉으로', '오면', '보합딱', '어제', '내가']","['안움직이는것도 잘하는거야 지금 상황엔', '관세만 아니었다면 지금 만 찍었을', '아무리 생각해봐도 지금 들어오는 수급은 배당밖']"
1,56,1_기아_오르는데_정의선_진짜,"['기아', '오르는데', '정의선', '진짜', '기아차', 'make', 'china', 'ai', 'ir', '맞죠']","['잘한다 진짜 현대는 몇천원이 오르는데', 'AI 요약 기아 해외지역 방문 IR N', '기아']"
