Topic,Count,Name,Representation,Representative_Docs
-1,17,-1_만원_sk_sk바이오팜_갔으면,"['만원', 'sk', 'sk바이오팜', '갔으면', '간다고', '공뇌에게', '공매로', '과감한', '결단으로', '꿈의가격']","['올해말엔 만원 갔으면', '월부터 만원 간다고 했다', '만원']"
0,136,0_오늘도_다시_겨울이_진짜,"['오늘도', '다시', '겨울이', '진짜', '물량을', '바사', '내가', '보면', '보합', '바사는']","['오늘도 개인만 매수중', '바사는 언제쯤 시원하게 한방 터뜨려주노', '오늘도']"
1,14,1_독감_급증_독감이_난리란다,"['독감', '급증', '독감이', '난리란다', 'rsv', '뉴스떴네', '독감유행', '독감실적', '독감인데', '독감장난아니라는']","['독감 비상', '독감 환자가 증가 중입니다', '독감 폐렴 급증 만 갑니다']"
2,12,2_년차_주식_공매도_강조드렸습니다,"['년차', '주식', '공매도', '강조드렸습니다', '공매는', '눈에', '눈에는', '다보입니다', '계속', '마음편히']","['잘들 주무셨죠 주식 년차 차트분석', '주식 년차 눈에는 다보입니다', '주식 년차 올해의 픽 종목']"
