Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
드디어 가네,0,0_오늘도_다시_겨울이_진짜,"['오늘도', '다시', '겨울이', '진짜', '물량을', '바사', '내가', '보면', '보합', '바사는']","['오늘도 개인만 매수중', '바사는 언제쯤 시원하게 한방 터뜨려주노', '오늘도']",오늘도 - 다시 - 겨울이 - 진짜 - 물량을 - 바사 - 내가 - 보면 - 보합 - 바사는,0.9845424992306826,False
오늘도 신용많이써라,0,0_오늘도_다시_겨울이_진짜,"['오늘도', '다시', '겨울이', '진짜', '물량을', '바사', '내가', '보면', '보합', '바사는']","['오늘도 개인만 매수중', '바사는 언제쯤 시원하게 한방 터뜨려주노', '오늘도']",오늘도 - 다시 - 겨울이 - 진짜 - 물량을 - 바사 - 내가 - 보면 - 보합 - 바사는,1.0,False
분기실적,0,0_오늘도_다시_겨울이_진짜,"['오늘도', '다시', '겨울이', '진짜', '물량을', '바사', '내가', '보면', '보합', '바사는']","['오늘도 개인만 매수중', '바사는 언제쯤 시원하게 한방 터뜨려주노', '오늘도']",오늘도 - 다시 - 겨울이 - 진짜 - 물량을 - 바사 - 내가 - 보면 - 보합 - 바사는,1.0,False
빠싸,0,0_오늘도_다시_겨울이_진짜,"['오늘도', '다시', '겨울이', '진짜', '물량을', '바사', '내가', '보면', '보합', '바사는']","['오늘도 개인만 매수중', '바사는 언제쯤 시원하게 한방 터뜨려주노', '오늘도']",오늘도 - 다시 - 겨울이 - 진짜 - 물량을 - 바사 - 내가 - 보면 - 보합 - 바사는,1.0,False
독감환자 급증,1,1_독감_급증_독감이_난리란다,"['독감', '급증', '독감이', '난리란다', 'rsv', '뉴스떴네', '독감유행', '독감실적', '독감인데', '독감장난아니라는']","['독감 비상', '독감 환자가 증가 중입니다', '독감 폐렴 급증 만 갑니다']",독감 - 급증 - 독감이 - 난리란다 - rsv - 뉴스떴네 - 독감유행 - 독감실적 - 독감인데 - 독감장난아니라는,1.0,False
조만간 날아간다,-1,-1_만원_sk_sk바이오팜_갔으면,"['만원', 'sk', 'sk바이오팜', '갔으면', '간다고', '공뇌에게', '공매로', '과감한', '결단으로', '꿈의가격']","['올해말엔 만원 갔으면', '월부터 만원 간다고 했다', '만원']",만원 - sk - sk바이오팜 - 갔으면 - 간다고 - 공뇌에게 - 공매로 - 과감한 - 결단으로 - 꿈의가격,0.0,False
장기로 보면,0,0_오늘도_다시_겨울이_진짜,"['오늘도', '다시', '겨울이', '진짜', '물량을', '바사', '내가', '보면', '보합', '바사는']","['오늘도 개인만 매수중', '바사는 언제쯤 시원하게 한방 터뜨려주노', '오늘도']",오늘도 - 다시 - 겨울이 - 진짜 - 물량을 - 바사 - 내가 - 보면 - 보합 - 바사는,1.0,False
독감테마는 이미끝,1,1_독감_급증_독감이_난리란다,"['독감', '급증', '독감이', '난리란다', 'rsv', '뉴스떴네', '독감유행', '독감실적', '독감인데', '독감장난아니라는']","['독감 비상', '독감 환자가 증가 중입니다', '독감 폐렴 급증 만 갑니다']",독감 - 급증 - 독감이 - 난리란다 - rsv - 뉴스떴네 - 독감유행 - 독감실적 - 독감인데 - 독감장난아니라는,1.0,False
독감 비상,1,1_독감_급증_독감이_난리란다,"['독감', '급증', '독감이', '난리란다', 'rsv', '뉴스떴네', '독감유행', '독감실적', '독감인데', '독감장난아니라는']","['독감 비상', '독감 환자가 증가 중입니다', '독감 폐렴 급증 만 갑니다']",독감 - 급증 - 독감이 - 난리란다 - rsv - 뉴스떴네 - 독감유행 - 독감실적 - 독감인데 - 독감장난아니라는,0.9109038652025975,True
원 주 자꾸 떨어지니 미춰버리,0,0_오늘도_다시_겨울이_진짜,"['오늘도', '다시', '겨울이', '진짜', '물량을', '바사', '내가', '보면', '보합', '바사는']","['오늘도 개인만 매수중', '바사는 언제쯤 시원하게 한방 터뜨려주노', '오늘도']",오늘도 - 다시 - 겨울이 - 진짜 - 물량을 - 바사 - 내가 - 보면 - 보합 - 바사는,1.0,False
주식 년차 올해의 픽 SK바이오사이언스,0,0_오늘도_다시_겨울이_진짜,"['오늘도', '다시', '겨울이', '진짜', '물량을', '바사', '내가', '보면', '보합', '바사는']","['오늘도 개인만 매수중', '바사는 언제쯤 시원하게 한방 터뜨려주노', '오늘도']",오늘도 - 다시 - 겨울이 - 진짜 - 물량을 - 바사 - 내가 - 보면 - 보합 - 바사는,0.8069145195255546,False
코로나 실적 독감실적,1,1_독감_급증_독감이_난리란다,"['독감', '급증', '독감이', '난리란다', 'rsv', '뉴스떴네', '독감유행', '독감실적', '독감인데', '독감장난아니라는']","['독감 비상', '독감 환자가 증가 중입니다', '독감 폐렴 급증 만 갑니다']",독감 - 급증 - 독감이 - 난리란다 - rsv - 뉴스떴네 - 독감유행 - 독감실적 - 독감인데 - 독감장난아니라는,0.5615210298226724,False
세력들아 듣거라,0,0_오늘도_다시_겨울이_진짜,"['오늘도', '다시', '겨울이', '진짜', '물량을', '바사', '내가', '보면', '보합', '바사는']","['오늘도 개인만 매수중', '바사는 언제쯤 시원하게 한방 터뜨려주노', '오늘도']",오늘도 - 다시 - 겨울이 - 진짜 - 물량을 - 바사 - 내가 - 보면 - 보합 - 바사는,1.0,False
이것들은 회사를 머하러 운영하는지,0,0_오늘도_다시_겨울이_진짜,"['오늘도', '다시', '겨울이', '진짜', '물량을', '바사', '내가', '보면', '보합', '바사는']","['오늘도 개인만 매수중', '바사는 언제쯤 시원하게 한방 터뜨려주노', '오늘도']",오늘도 - 다시 - 겨울이 - 진짜 - 물량을 - 바사 - 내가 - 보면 - 보합 - 바사는,1.0,False
욕도 아깝다,0,0_오늘도_다시_겨울이_진짜,"['오늘도', '다시', '겨울이', '진짜', '물량을', '바사', '내가', '보면', '보합', '바사는']","['오늘도 개인만 매수중', '바사는 언제쯤 시원하게 한방 터뜨려주노', '오늘도']",오늘도 - 다시 - 겨울이 - 진짜 - 물량을 - 바사 - 내가 - 보면 - 보합 - 바사는,0.9182114628790348,False
공매로 먹고산 종목이라,-1,-1_만원_sk_sk바이오팜_갔으면,"['만원', 'sk', 'sk바이오팜', '갔으면', '간다고', '공뇌에게', '공매로', '과감한', '결단으로', '꿈의가격']","['올해말엔 만원 갔으면', '월부터 만원 간다고 했다', '만원']",만원 - sk - sk바이오팜 - 갔으면 - 간다고 - 공뇌에게 - 공매로 - 과감한 - 결단으로 - 꿈의가격,0.0,False
