Topic,Count,Name,Representation,Representative_Docs
-1,28,-1_국제유가_기관_누가_가격에,"['국제유가', '기관', '누가', '가격에', '가질사람', '걸음을', '과연', '가져라', 'ai시대', 'cctv']","['국장에서 이제 매수할 주식이 이거 하나뿐이다', '외인 기관 단타치러 들간거니까 조심', '기관 이거들 방어도 못하고 한심하다']"
0,94,0_오늘_오늘은_다시_배당,"['오늘', '오늘은', '다시', '배당', '동시호가', '월요일', '양전만', '뭐다', '모간아', '하면']","['형은 오늘 신용만 살짝 정리했다', '자 자 오늘봤으니 다시 배당', '한전 오늘 대박 입니다']"
1,32,1_한전_개미꼬시기인가_개미_내가쓴글,"['한전', '개미꼬시기인가', '개미', '내가쓴글', '계단식', '고점', '나쁘지않은', '높이고', '년에', '롤러코스터']","['솟구처라 한전 년 영익 조', '굿 한전', '한전']"
2,22,2_수급_국제유가_가야제_per,"['수급', '국제유가', '가야제', 'per', '간장고추장된장에투자하라', '개선', '관계', '가능', '기록중', '년내']","['국제유가 년내 최저 기록중', '년안에 만원은 쉽게 가능 할것', '죄수들의 딜레마 평가 수익의 허상']"
3,16,3_한국전력_원전_각지방에서_결과,"['한국전력', '원전', '각지방에서', '결과', '고속도로', '고속철도', '고속철도건설할때', '고수건', 'ai가', '각종발전기']","['한국전력 차 주 확 정', '속보 마크롱 대통령 한국과 원전 협력', '한국전력 초보건 고수건 샀건 안샀건 이건 알아']"
