Topic,Count,Name,Representation,Representative_Docs
-1,3,-1_목표주가_상향_심판_사기극,"['목표주가', '상향', '심판', '사기극', '사상최', '리죄명', '회장', '빈대인', '요약', '']","['리죄명 사기극', '빈대인 회장 심판', '장 요약 목표주가 상향 사상최']"
0,141,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']"
1,20,1_bnk금융지주_bnk_요약_ai,"['bnk금융지주', 'bnk', '요약', 'ai', '은행', 'bnk금융지주가', '강세', '경영실적', '계획', '년초']","['BNK금융지주 에라이', 'AI 요약 BNK금융지주 년', 'AI 요약 BNK금융지주 년 분']"
