Topic,Count,Name,Representation,Representative_Docs
-1,115,-1_뉴진스_bts_팩스_무지랭이,"['뉴진스', 'bts', '팩스', '무지랭이', '민천지', '서서히', '무소식', '오늘도', '감감', '하이브']","['재깍 재깍 오늘도 감감 무소식', '오늘도 감감 무소식', '무지랭이 민천지 팩스 폭탄 내용이 어이없는 이']"
0,27,0_개미_살리고_물타기_하이브,"['개미', '살리고', '물타기', '하이브', '개선은', 'seventeen', 'nxt에서도', '네바', '구간', '긍정반응']","['개미 무한 물타기', 'NXT에서도 개미 물타기', '걔네 이미지 개선은 하이브 돌들과 스스럼없이']"
1,20,1_하이브_방시혁_고쳐_개웃겨,"['하이브', '방시혁', '고쳐', '개웃겨', '공매맛집', '관련', '관련주', '관계자는', 'ir팀', '네이버']","['서울청 관계자는 수사와 관련 상당 부분 진행', '하이브 ir팀 번호나 이메일 아는 사람', '하이브 적자 나온건 내년도 실적을 온전히 내기']"
2,17,2_가자_엔씨_가네요_공유,"['가자', '엔씨', '가네요', '공유', '계속', '몇명', '그런데', '그렇게', '깼네', '내려']","['정보 공유 한다느니 몇명 모여 있다느니', '몇일 일어난 일을 보면 엄마 잡아야 전쟁이', '엔씨 폭락하는거 보니 주식이 정말 무섭군']"
3,14,3_kusa도_가고_갔냐_같은데,"['kusa도', '가고', '갔냐', '같은데', '개미들', '그러는데', '꼬꾸라지는데', '나가라는데', '나스닥', '낙동강']","['KUSA도 점점 맛탱이 가고 있네', '낙동강 오리알이 하나만 남은거 같은데', '낙동강에 오리가 한마리 살았는데 알을 세개']"
