Topic,Count,Name,Representation,Representative_Docs
-1,46,-1_매수_mbk가_기타금융_mbk,"['매수', 'mbk가', '기타금융', 'mbk', '고려아연', '급하게', '폭락', '만주', '가능성', '가면']","['mbk사는데 공개 매수 선언 안하는가', '기타금융 매수 주체', '작년 만원때도 연말 기타금융 매수']"
0,119,0_다시_신성델타_윤범아_지금,"['다시', '신성델타', '윤범아', '지금', '그래', '내리면', '여기서', '에서', '반등', '하고']","['왜 여기서 찬티 안티 하고 있나요', '에서 다시 매수할려는데', '지분싸움 다시 시작될까요']"
1,26,1_속도_증권사_분기_오늘도,"['속도', '증권사', '분기', '오늘도', '만원', '고려아연', '경영권분쟁', '거래가중', '금액보라', '국가기간산업이고']","['증권사 레포트 만원 이란다', '수출 규제로 이트륨 가격 폭등 첨단 산업', '고려아연 분기 폭팔적 성장 예상 증권사 리포']"
