Topic,Count,Name,Representation,Representative_Docs
-1,28,-1_분석_top_예정_분리과세,"['분석', 'top', '예정', '분리과세', '배당', '소각', '자사주', '분기', '낙폭한번올듯', '김도하연구원']","['분기 증권사 전체 리포트 분석 년차 주주', '다음주 자사주 소각 차 상법개정안 발의 예정', '월 자사주 소각 배당 분리과세 유일 중복']"
0,99,0_jb금융지주_오늘_자사주_시디즈,"['jb금융지주', '오늘', '자사주', '시디즈', '실적', '금비', '내가만듬', '보단', '보다', '메리츠']","['JB금융지주 말고 금비 상갈듯', 'JB금융지주 보단 시디즈 무상증자', 'JB금융지주 말고 시디즈 상갈듯']"
1,22,1_배당금_주고_경제부터_국민연금,"['배당금', '주고', '경제부터', '국민연금', '관련', '공매도', '과표구간과', '매수로', '금융주도', '돈벌려면']","['배당소득 분리과세 과표구간과 세율 관련 청원진행', '오버행 우려보다는 주주환원 확대 규모에 더 주목', '배당도 주고 바로 주가상승 수익도 주고']"
2,21,2_jb금융지주_jb_ai_요약,"['jb금융지주', 'jb', 'ai', '요약', '분기', '배당금', 'jb금융', '인수', 'jjb', '현금']","['AI 요약 JB금융지주 유안타증권 주관', 'AI 요약 주 JB금융지주 현금 현물배', 'AI 요약 JB금융지주 년 분기']"
