Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
주주환원 정책에 기초한 적정주가 산출,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,1.0,False
더 사고싶은데 돈이 없네,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,1.0,False
호재 많네,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,0.9905713087681709,False
누구때문에 코스피 천간다고,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,1.0,False
연체 막으려고 현차 일 일하고 그만뒀는데 여,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,1.0,False
BNK 때문에 연체 개 생겼다,1,1_bnk금융지주_bnk_요약_ai,"['bnk금융지주', 'bnk', '요약', 'ai', '은행', 'bnk금융지주가', '강세', '경영실적', '계획', '년초']","['BNK금융지주 에라이', 'AI 요약 BNK금융지주 년', 'AI 요약 BNK금융지주 년 분']",bnk금융지주 - bnk - 요약 - ai - 은행 - bnk금융지주가 - 강세 - 경영실적 - 계획 - 년초,0.5067817986131592,False
기다려봅시다,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,1.0,False
참 여긴 희한하네요,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,1.0,False
답이 없어서 손절치고 나왔습니다,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,0.9869701646364722,False
배당금,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,1.0,False
아침에손절하고 신한지주탐,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,0.9427531177036401,False
그딴 정신머리로 어떻게 만가고 만 가냐,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,1.0,False
왜빠지는건가요,0,0_소각_분리과세_기관_배당,"['소각', '분리과세', '기관', '배당', '빈대인', '자사주', '분기', '상승', '배당분리과세', '금융주']","['자사주 소각 배당분리과세 유일하게 중복되는 저', '월 자사주 소각 배당 분리과세 중복 수혜', '이번주 발의 되는 자사주 소각 배당 분리과세']",소각 - 분리과세 - 기관 - 배당 - 빈대인 - 자사주 - 분기 - 상승 - 배당분리과세 - 금융주,1.0,False
