Topic,Count,Name,Representation,Representative_Docs
-1,18,-1_바이오_공매도_유한양행_개념으로,"['바이오', '공매도', '유한양행', '개념으로', 'per이', '개인들은', '거의', '거래량', '계실까요', '게시판']","['미국장 바이오 거의 다 불기둥', '내년 대변화 조짐 제약바이오 K 바이오 전', '유한양행 바이오 상승이유 순환매 금리인하 전']"
0,87,0_유한양행_오늘도_조욱제_오늘,"['유한양행', '오늘도', '조욱제', '오늘', '여기', '유한이', '회사', '투자자', '사기꾼', '내가']","['유한이 회사는 좋은데 조욱제 일당들이 이러저리', '조욱제와 그 일당들만의 회사 유한양행', '내가 유한양행 만주 주주 조욱제가 복']"
1,83,1_유한_per_무상증자_암아,"['유한', 'per', '무상증자', '암아', '썩은', '조옥제', '주주가치', '유한양행은', '진짜', '유한양행']","['유한 코티 년 비교', '유한 양갱 암덩어리', '유한이는 썩은 나무 썩은 나무에 계속 물주고']"
