Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
대한이 마지막까지 집중해라,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,1.0,False
내가 말했듯이 연상은 어렵다,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,0.9474112920353325,False
너라도 좀 가라,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,0.9750826112900158,False
아니 반도체 등등등 개폭락할때,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,0.8391733394237471,False
이 폭락장에도 버티는것 보면,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,1.0,False
기관외인들 매수 꾸준히,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,0.8890491553159122,False
조기합병해라,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,0.8942695943443484,False
오늘 가나요,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,1.0,False
결국엔 계단식 하락이네요,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,1.0,False
한일령 리스크,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,1.0,False
월fomc 상법개정 MSCI,1,1_환율_거래량_동시호가_종가,"['환율', '거래량', '동시호가', '종가', 'msci', '그렇지', '그룹', '금리', '금리인상', '급등할듯']","['월 말 환율 종가', '주 종가 환율', '환율 이']",환율 - 거래량 - 동시호가 - 종가 - msci - 그렇지 - 그룹 - 금리 - 금리인상 - 급등할듯,1.0,False
이제 대한이를 방산주로 불러라,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,1.0,False
오늘 대한이 빨간불 나온다,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,1.0,False
미국 연준 쿡 이사 자산 가격 고평,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,0.5103043162575612,False
차트 답 말햇잔여,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,0.8980021883033019,False
방산이 아니라 빵상이겠지,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,1.0,False
빠지니까 망상회로 시작됐네 또,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,1.0,False
보아라 기억하라 우리는 땅콩항공,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,1.0,False
안전하긴 뭐가 안전해,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,1.0,False
원만 더빠지면 년 최저점이네,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,0.8893213841775166,False
땅콩주주 오늘 이정도면 선방이네,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,1.0,False
사놓고 기다리세요,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,1.0,False
가보자 대한항공 주 매수,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,1.0,False
떨어질게 있냐,0,0_오늘_대한항공_매수_한일령,"['오늘', '대한항공', '매수', '한일령', '만원', '이거', '중국', '항공', '대한이가', '봐라']","['오늘 원 올랐어요 상한가 입', '오늘 종가', '대한항공 주가 만원 갈 가능성']",오늘 - 대한항공 - 매수 - 한일령 - 만원 - 이거 - 중국 - 항공 - 대한이가 - 봐라,1.0,False
