Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
만원,0,0_오늘_시총_실적_만원,"['오늘', '시총', '실적', '만원', '주가', '내일', '너무', '매수', '만주', '위한']","['험난한 시총 조의 길', '진짜 gs 주가 재평가 받아야 된다', '실적 대박났는데 주가 만원 올려놓자']",오늘 - 시총 - 실적 - 만원 - 주가 - 내일 - 너무 - 매수 - 만주 - 위한,1.0,False
배당주로 낙인 찍지 말자,0,0_오늘_시총_실적_만원,"['오늘', '시총', '실적', '만원', '주가', '내일', '너무', '매수', '만주', '위한']","['험난한 시총 조의 길', '진짜 gs 주가 재평가 받아야 된다', '실적 대박났는데 주가 만원 올려놓자']",오늘 - 시총 - 실적 - 만원 - 주가 - 내일 - 너무 - 매수 - 만주 - 위한,1.0,False
지분전쟁 안나아요,0,0_오늘_시총_실적_만원,"['오늘', '시총', '실적', '만원', '주가', '내일', '너무', '매수', '만주', '위한']","['험난한 시총 조의 길', '진짜 gs 주가 재평가 받아야 된다', '실적 대박났는데 주가 만원 올려놓자']",오늘 - 시총 - 실적 - 만원 - 주가 - 내일 - 너무 - 매수 - 만주 - 위한,1.0,False
마지막 주 추가매수,0,0_오늘_시총_실적_만원,"['오늘', '시총', '실적', '만원', '주가', '내일', '너무', '매수', '만주', '위한']","['험난한 시총 조의 길', '진짜 gs 주가 재평가 받아야 된다', '실적 대박났는데 주가 만원 올려놓자']",오늘 - 시총 - 실적 - 만원 - 주가 - 내일 - 너무 - 매수 - 만주 - 위한,0.7845653911786491,False
쌍끌이 매수네,0,0_오늘_시총_실적_만원,"['오늘', '시총', '실적', '만원', '주가', '내일', '너무', '매수', '만주', '위한']","['험난한 시총 조의 길', '진짜 gs 주가 재평가 받아야 된다', '실적 대박났는데 주가 만원 올려놓자']",오늘 - 시총 - 실적 - 만원 - 주가 - 내일 - 너무 - 매수 - 만주 - 위한,0.9311313821873807,False
폭등 탐색가 입니다,0,0_오늘_시총_실적_만원,"['오늘', '시총', '실적', '만원', '주가', '내일', '너무', '매수', '만주', '위한']","['험난한 시총 조의 길', '진짜 gs 주가 재평가 받아야 된다', '실적 대박났는데 주가 만원 올려놓자']",오늘 - 시총 - 실적 - 만원 - 주가 - 내일 - 너무 - 매수 - 만주 - 위한,1.0,False
팔면,0,0_오늘_시총_실적_만원,"['오늘', '시총', '실적', '만원', '주가', '내일', '너무', '매수', '만주', '위한']","['험난한 시총 조의 길', '진짜 gs 주가 재평가 받아야 된다', '실적 대박났는데 주가 만원 올려놓자']",오늘 - 시총 - 실적 - 만원 - 주가 - 내일 - 너무 - 매수 - 만주 - 위한,1.0,False
지에스,0,0_오늘_시총_실적_만원,"['오늘', '시총', '실적', '만원', '주가', '내일', '너무', '매수', '만주', '위한']","['험난한 시총 조의 길', '진짜 gs 주가 재평가 받아야 된다', '실적 대박났는데 주가 만원 올려놓자']",오늘 - 시총 - 실적 - 만원 - 주가 - 내일 - 너무 - 매수 - 만주 - 위한,1.0,False
쫌만 사봄,0,0_오늘_시총_실적_만원,"['오늘', '시총', '실적', '만원', '주가', '내일', '너무', '매수', '만주', '위한']","['험난한 시총 조의 길', '진짜 gs 주가 재평가 받아야 된다', '실적 대박났는데 주가 만원 올려놓자']",오늘 - 시총 - 실적 - 만원 - 주가 - 내일 - 너무 - 매수 - 만주 - 위한,1.0,False
영익조 자산가치 재평가시 pbr 예상 시,0,0_오늘_시총_실적_만원,"['오늘', '시총', '실적', '만원', '주가', '내일', '너무', '매수', '만주', '위한']","['험난한 시총 조의 길', '진짜 gs 주가 재평가 받아야 된다', '실적 대박났는데 주가 만원 올려놓자']",오늘 - 시총 - 실적 - 만원 - 주가 - 내일 - 너무 - 매수 - 만주 - 위한,1.0,False
꿈이냐 생시냐,0,0_오늘_시총_실적_만원,"['오늘', '시총', '실적', '만원', '주가', '내일', '너무', '매수', '만주', '위한']","['험난한 시총 조의 길', '진짜 gs 주가 재평가 받아야 된다', '실적 대박났는데 주가 만원 올려놓자']",오늘 - 시총 - 실적 - 만원 - 주가 - 내일 - 너무 - 매수 - 만주 - 위한,1.0,False
영익 조인 회사가 시총 조,0,0_오늘_시총_실적_만원,"['오늘', '시총', '실적', '만원', '주가', '내일', '너무', '매수', '만주', '위한']","['험난한 시총 조의 길', '진짜 gs 주가 재평가 받아야 된다', '실적 대박났는데 주가 만원 올려놓자']",오늘 - 시총 - 실적 - 만원 - 주가 - 내일 - 너무 - 매수 - 만주 - 위한,1.0,False
만원 되면,0,0_오늘_시총_실적_만원,"['오늘', '시총', '실적', '만원', '주가', '내일', '너무', '매수', '만주', '위한']","['험난한 시총 조의 길', '진짜 gs 주가 재평가 받아야 된다', '실적 대박났는데 주가 만원 올려놓자']",오늘 - 시총 - 실적 - 만원 - 주가 - 내일 - 너무 - 매수 - 만주 - 위한,1.0,False
GS의 마지막 자산 재평가 시점이 언제인지 아시,1,1_gs_ai_요약_배당,"['gs', 'ai', '요약', '배당', '재평가', '주가', '만원', 'gs의', 'gs배당', '몇번']","['AI 요약 GS 년 분기 실적이', 'GS 망 해 라', 'Gs']",gs - ai - 요약 - 배당 - 재평가 - 주가 - 만원 - gs의 - gs배당 - 몇번,1.0,False
