Topic,Count,Name,Representation,Representative_Docs
-1,100,-1_다시_만원_폭락_개미들,"['다시', '만원', '폭락', '개미들', '엘앤에프', '수급', '만원대', '리튬', '하락', '애들아']","['개미들 주식 빼을 라구 발악 을 하는 구나 작', '듕귝에서 다시 리튬 채굴한다고', 'Catl 리튬광산 채굴 재시작 리튬 폭락 했습']"
0,37,0_연기금_아직도_양전_신주인수권,"['연기금', '아직도', '양전', '신주인수권', '프로', '엔비디아', '찬티', '역시', '엘앤에프', 'jp모간']","['아짇 도 신주인수권 프로 수익중 구민연금', '고점에 물린 찬티 저지능 군중에 놀아나는 흑우', '연기금 이놈들이제 신주인수권 아직도 수익중이니']"
1,33,1_이거_p쯤_t수주는_고점대비,"['이거', 'p쯤', 't수주는', '고점대비', '과매도구간', '더빼', '꼬리좀', '들아', 'opkm', '확인했다']","['이거', '이거 이럴줄알았다', '야간선물 월요일 p쯤 상승']"
2,21,2_bw발행_같은게아니라_거래일_누구냐,"['bw발행', '같은게아니라', '거래일', '누구냐', '니들', '덴장', '도랐네', '들었군아', '말했잖아', '망조가']","['유로 오랜만이네 아이디 바꿨네', '더 최악인게 외인은 지금 저가 상환이고', '주식수가 모자른거야 뭐야 왜 추가 상장인데']"
