Topic,Count,Name,Representation,Representative_Docs
-1,31,-1_없는_에고_지수_외인,"['없는', '에고', '지수', '외인', '만원', '오늘', '따라서', '거래량도', '개잡주인것', '괴로운']","['저번주부터 바이오주에 살살 돈이 몰리는거 같은', '거래량 없이 빠지는 건강한 조정은 견뎌야 맛이죠', '고환율로 외인 순매도 처참한 시장 상황에 신고']"
0,109,0_외국인_jp모건_내일_코스피,"['외국인', 'jp모건', '내일', '코스피', '오늘도', '진짜', '한번', '연속', '빗각', '나스닥']","['원 마감하고 내일 한번 슈팅 가자', '고환율로 외국인 코스피 보유비중 연중 최저치', '외국인 거래일 연속 순매수']"
1,42,1_역시_sk_같읍니다_개관이,"['역시', 'sk', '같읍니다', '개관이', '걍기술이전을', '가니', '결국', '경영진', '궁금한', '그날이']","['새로운 리서치가 있어요', '임상분석 유효성 발표', '얼마 안남았읍니다 시원하게 쏠거 같읍니다']"
2,12,2_sk바이오팜_바이오_nda_sk바이오팜을,"['sk바이오팜', '바이오', 'nda', 'sk바이오팜을', '가장', '갈듯', '개인분석글', '개인적분석', '개잡주', 'ai를']","['안타깝다 국내에서 가장 안타까운 바이오', 'SK바이오팜 현 상황 정리한 기사', 'SK바이오팜 세컨 프로덕트 도입 협상 속도']"
