Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
외국인들이 가 넘게 갖고 있는 걸 보,0,0_오늘_빨리_배당락_외인,"['오늘', '빨리', '배당락', '외인', '배당금', '자사주', '배당', '옵션만기일', '조정', '장전에']","['오늘', '오늘 배당락에 옵션만기일 폭락예정', '빨리 튀어라 배당락에 옵션만기일 겹쳤다']",오늘 - 빨리 - 배당락 - 외인 - 배당금 - 자사주 - 배당 - 옵션만기일 - 조정 - 장전에,1.0,False
이 정도 실적이면 만 원 정도는 가야,0,0_오늘_빨리_배당락_외인,"['오늘', '빨리', '배당락', '외인', '배당금', '자사주', '배당', '옵션만기일', '조정', '장전에']","['오늘', '오늘 배당락에 옵션만기일 폭락예정', '빨리 튀어라 배당락에 옵션만기일 겹쳤다']",오늘 - 빨리 - 배당락 - 외인 - 배당금 - 자사주 - 배당 - 옵션만기일 - 조정 - 장전에,1.0,False
역시 주식은 욕심과 절제군요,-1,-1_무너뜨린_kb_법무장관_사법체계,"['무너뜨린', 'kb', '법무장관', '사법체계', '배당', '역시', '마감', '하루에', '실적', '물러나라']","['사법체계 무너뜨린 법무장관은 즉각 물러나라', '사법체계 무너뜨린 법무장관 물러하라', '사법체계 무너뜨린 법무장관 물러나라']",무너뜨린 - kb - 법무장관 - 사법체계 - 배당 - 역시 - 마감 - 하루에 - 실적 - 물러나라,0.0,False
오늘종가 원,-1,-1_무너뜨린_kb_법무장관_사법체계,"['무너뜨린', 'kb', '법무장관', '사법체계', '배당', '역시', '마감', '하루에', '실적', '물러나라']","['사법체계 무너뜨린 법무장관은 즉각 물러나라', '사법체계 무너뜨린 법무장관 물러하라', '사법체계 무너뜨린 법무장관 물러나라']",무너뜨린 - kb - 법무장관 - 사법체계 - 배당 - 역시 - 마감 - 하루에 - 실적 - 물러나라,0.0,False
에 들어가봅니다,-1,-1_무너뜨린_kb_법무장관_사법체계,"['무너뜨린', 'kb', '법무장관', '사법체계', '배당', '역시', '마감', '하루에', '실적', '물러나라']","['사법체계 무너뜨린 법무장관은 즉각 물러나라', '사법체계 무너뜨린 법무장관 물러하라', '사법체계 무너뜨린 법무장관 물러나라']",무너뜨린 - kb - 법무장관 - 사법체계 - 배당 - 역시 - 마감 - 하루에 - 실적 - 물러나라,0.0,False
태영건설 부채가 프로 대출 해줌 개,0,0_오늘_빨리_배당락_외인,"['오늘', '빨리', '배당락', '외인', '배당금', '자사주', '배당', '옵션만기일', '조정', '장전에']","['오늘', '오늘 배당락에 옵션만기일 폭락예정', '빨리 튀어라 배당락에 옵션만기일 겹쳤다']",오늘 - 빨리 - 배당락 - 외인 - 배당금 - 자사주 - 배당 - 옵션만기일 - 조정 - 장전에,1.0,False
오늘 코스피 아작나겠네,0,0_오늘_빨리_배당락_외인,"['오늘', '빨리', '배당락', '외인', '배당금', '자사주', '배당', '옵션만기일', '조정', '장전에']","['오늘', '오늘 배당락에 옵션만기일 폭락예정', '빨리 튀어라 배당락에 옵션만기일 겹쳤다']",오늘 - 빨리 - 배당락 - 외인 - 배당금 - 자사주 - 배당 - 옵션만기일 - 조정 - 장전에,0.967899644945023,False
한 미 관세협상 팩트시트 발표후 우리,-1,-1_무너뜨린_kb_법무장관_사법체계,"['무너뜨린', 'kb', '법무장관', '사법체계', '배당', '역시', '마감', '하루에', '실적', '물러나라']","['사법체계 무너뜨린 법무장관은 즉각 물러나라', '사법체계 무너뜨린 법무장관 물러하라', '사법체계 무너뜨린 법무장관 물러나라']",무너뜨린 - kb - 법무장관 - 사법체계 - 배당 - 역시 - 마감 - 하루에 - 실적 - 물러나라,0.0,False
하 물안타야겟다,0,0_오늘_빨리_배당락_외인,"['오늘', '빨리', '배당락', '외인', '배당금', '자사주', '배당', '옵션만기일', '조정', '장전에']","['오늘', '오늘 배당락에 옵션만기일 폭락예정', '빨리 튀어라 배당락에 옵션만기일 겹쳤다']",오늘 - 빨리 - 배당락 - 외인 - 배당금 - 자사주 - 배당 - 옵션만기일 - 조정 - 장전에,0.9432549524481207,False
배당 지급일 나왔네요,-1,-1_무너뜨린_kb_법무장관_사법체계,"['무너뜨린', 'kb', '법무장관', '사법체계', '배당', '역시', '마감', '하루에', '실적', '물러나라']","['사법체계 무너뜨린 법무장관은 즉각 물러나라', '사법체계 무너뜨린 법무장관 물러하라', '사법체계 무너뜨린 법무장관 물러나라']",무너뜨린 - kb - 법무장관 - 사법체계 - 배당 - 역시 - 마감 - 하루에 - 실적 - 물러나라,0.0,False
기관 대 외인 베팅 재밌네,0,0_오늘_빨리_배당락_외인,"['오늘', '빨리', '배당락', '외인', '배당금', '자사주', '배당', '옵션만기일', '조정', '장전에']","['오늘', '오늘 배당락에 옵션만기일 폭락예정', '빨리 튀어라 배당락에 옵션만기일 겹쳤다']",오늘 - 빨리 - 배당락 - 외인 - 배당금 - 자사주 - 배당 - 옵션만기일 - 조정 - 장전에,1.0,False
자사주 억 하루에 만주씩 매,-1,-1_무너뜨린_kb_법무장관_사법체계,"['무너뜨린', 'kb', '법무장관', '사법체계', '배당', '역시', '마감', '하루에', '실적', '물러나라']","['사법체계 무너뜨린 법무장관은 즉각 물러나라', '사법체계 무너뜨린 법무장관 물러하라', '사법체계 무너뜨린 법무장관 물러나라']",무너뜨린 - kb - 법무장관 - 사법체계 - 배당 - 역시 - 마감 - 하루에 - 실적 - 물러나라,0.0,False
연기금 매수는 키맞추기 아닌가,0,0_오늘_빨리_배당락_외인,"['오늘', '빨리', '배당락', '외인', '배당금', '자사주', '배당', '옵션만기일', '조정', '장전에']","['오늘', '오늘 배당락에 옵션만기일 폭락예정', '빨리 튀어라 배당락에 옵션만기일 겹쳤다']",오늘 - 빨리 - 배당락 - 외인 - 배당금 - 자사주 - 배당 - 옵션만기일 - 조정 - 장전에,1.0,False
자사주 후딱 좀 사라,0,0_오늘_빨리_배당락_외인,"['오늘', '빨리', '배당락', '외인', '배당금', '자사주', '배당', '옵션만기일', '조정', '장전에']","['오늘', '오늘 배당락에 옵션만기일 폭락예정', '빨리 튀어라 배당락에 옵션만기일 겹쳤다']",오늘 - 빨리 - 배당락 - 외인 - 배당금 - 자사주 - 배당 - 옵션만기일 - 조정 - 장전에,1.0,False
최대주주인 국민연금등 지분율이 꼴랑,0,0_오늘_빨리_배당락_외인,"['오늘', '빨리', '배당락', '외인', '배당금', '자사주', '배당', '옵션만기일', '조정', '장전에']","['오늘', '오늘 배당락에 옵션만기일 폭락예정', '빨리 튀어라 배당락에 옵션만기일 겹쳤다']",오늘 - 빨리 - 배당락 - 외인 - 배당금 - 자사주 - 배당 - 옵션만기일 - 조정 - 장전에,1.0,False
헛 대장 개잡주여,0,0_오늘_빨리_배당락_외인,"['오늘', '빨리', '배당락', '외인', '배당금', '자사주', '배당', '옵션만기일', '조정', '장전에']","['오늘', '오늘 배당락에 옵션만기일 폭락예정', '빨리 튀어라 배당락에 옵션만기일 겹쳤다']",오늘 - 빨리 - 배당락 - 외인 - 배당금 - 자사주 - 배당 - 옵션만기일 - 조정 - 장전에,0.9663533869536713,False
일부러 파란색 만드네,0,0_오늘_빨리_배당락_외인,"['오늘', '빨리', '배당락', '외인', '배당금', '자사주', '배당', '옵션만기일', '조정', '장전에']","['오늘', '오늘 배당락에 옵션만기일 폭락예정', '빨리 튀어라 배당락에 옵션만기일 겹쳤다']",오늘 - 빨리 - 배당락 - 외인 - 배당금 - 자사주 - 배당 - 옵션만기일 - 조정 - 장전에,0.9115721118785131,False
