Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
본래자리 찾아가고 있구나 만냥 대,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,1.0,False
오늘도 개미 검색종목 최상위권,1,1_개미_개미들_오늘도_개미가,"['개미', '개미들', '오늘도', '개미가', '계속', '물량', '매수', '개미있나요', '기관', '기생충']","['개미 년간 백만주 넘게 매수', '오늘도 개미 검색종목 최상위권', '오늘도 개미 신용매수']",개미 - 개미들 - 오늘도 - 개미가 - 계속 - 물량 - 매수 - 개미있나요 - 기관 - 기생충,1.0,True
안티가 바글바글하네,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,1.0,False
오늘도 개미 신용매수,1,1_개미_개미들_오늘도_개미가,"['개미', '개미들', '오늘도', '개미가', '계속', '물량', '매수', '개미있나요', '기관', '기생충']","['개미 년간 백만주 넘게 매수', '오늘도 개미 검색종목 최상위권', '오늘도 개미 신용매수']",개미 - 개미들 - 오늘도 - 개미가 - 계속 - 물량 - 매수 - 개미있나요 - 기관 - 기생충,1.0,True
삼선전환도 음전환 한다고 알려 주었건만,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,1.0,False
개미 년간 백만주 넘게 매수,1,1_개미_개미들_오늘도_개미가,"['개미', '개미들', '오늘도', '개미가', '계속', '물량', '매수', '개미있나요', '기관', '기생충']","['개미 년간 백만주 넘게 매수', '오늘도 개미 검색종목 최상위권', '오늘도 개미 신용매수']",개미 - 개미들 - 오늘도 - 개미가 - 계속 - 물량 - 매수 - 개미있나요 - 기관 - 기생충,1.0,True
키움 개미들 들어왔다,1,1_개미_개미들_오늘도_개미가,"['개미', '개미들', '오늘도', '개미가', '계속', '물량', '매수', '개미있나요', '기관', '기생충']","['개미 년간 백만주 넘게 매수', '오늘도 개미 검색종목 최상위권', '오늘도 개미 신용매수']",개미 - 개미들 - 오늘도 - 개미가 - 계속 - 물량 - 매수 - 개미있나요 - 기관 - 기생충,0.4637597144269117,False
마치면도칼로 자르듣이 칼날이 매섭네,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,1.0,False
OOO 일봉,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,1.0,False
초단기 급등했네요,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,0.9215884032864246,False
에휴 음전한다했지,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,0.9789062412615336,False
아침부터 약파는넘들,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,1.0,False
가짜 뉴스에 속지말고 꾸준하게 모아가세요,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,1.0,False
월 일,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,1.0,False
차익실현,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,1.0,False
삼전 삼전기,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,0.9823795617686388,False
힘이 없네요,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,1.0,False
오늘도 오르는거보니 음전,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,1.0,False
이번주는 오르겠지,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,1.0,False
배터리 시장 선행지표 양극재 판매 박살,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,1.0,False
원화값 추락 원화 실질가치 금융위기,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,1.0,False
테슬라a 삼성에서 생산,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,1.0,False
개쓰려기,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,1.0,False
오늘도 공포의 삼디가 될런지,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,1.0,False
초고환율 배터리 기업에 치명타,0,0_삼성sdi_지금_코스피_분기,"['삼성sdi', '지금', '코스피', '분기', '배터리', 'ess', '다시', '삼성', '오늘', '이차전지']","['ess 사업 진출 삼성sdi 적정주가', '삼성 외삼촌 회사 PBR 이렇게', '속보 삼성SDI 분기 누적 영업이익']",삼성sdi - 지금 - 코스피 - 분기 - 배터리 - ess - 다시 - 삼성 - 오늘 - 이차전지,1.0,False
